0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.010 0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.009 0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.008 0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.008 0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.008 0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.008 0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.008 0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.084 0.008 0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.084 0.007 0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.084 0.007 0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.084 0.007 0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.084 0.007 0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.007 0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.007 0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.007 0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.006 0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.005 0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.004 0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.003 0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.003 0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.085 0.003 0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.003 0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.003 0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.003 0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.002 0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.001 0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.001 0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.086 0.001 0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.001 0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.001 0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.001 0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.001 0.000
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.000 -0.000
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.000 -0.000
1 2 3

1 2 3
1 2 3
1 2 3
0.087 0.000 -0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 -0.000 -0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 -0.000 -0.001
1 2 3

1 2 3
1 2 3
1 2 3
0.087 -0.000 -0.002
1 2 3

1 2 3
1 2 3
1 2 3
